epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.703,2.12651,4.11849,2.12164,7e-05,0.05,1e-05,0,4.15989,594976,1261.17,0.0024,0.0024,0.0784
2,334.875,2.60578,4.23568,2.83243,0,0,0,0,6.75085,6.43145e+08,501452,0.00478129,0.00478129,0.0557813
3,499.563,2.58569,3.812,2.74938,4e-05,0.00532,0,0,5.05172,5.38859e+07,245706,0.00670043,0.00670043,0.0327004
4,656.892,2.82027,3.96082,3.03622,0,0,0,0,3.00301,2.33731e+06,44362.4,0.00787994,0.00787994,0.00887994
5,819.383,2.6817,3.46631,2.92905,0.00036,0.05922,7e-05,2e-05,4.72256,1.80061e+06,11224.2,0.00657963,0.00657963,0.00657963
6,980.694,2.68231,3.4533,2.98809,0.00109,0.08652,0.0002,5e-05,4.73159,224821,3340.69,0.00505,0.00505,0.00505
7,1137.01,2.51265,3.15265,2.72992,0,0,0,0,4.23441,30.579,93.6919,0.00352037,0.00352037,0.00352037
8,10885.5,2.5392,3.18359,2.76632,0.04046,0.10922,0.01158,0.00294,3.88199,5.53295,13.5395,0.00214046,0.00214046,0.00214046
9,11123.7,2.4942,2.98253,2.67309,0.17855,0.22447,0.14133,0.04114,2.7118,4.4413,3.13814,0.00104537,0.00104537,0.00104537
10,11351.1,2.56128,2.93563,2.71957,0.25076,0.18582,0.16239,0.06066,2.4173,2.61058,2.76626,0.00034227,0.00034227,0.00034227
